1 p2@PAX2 i 1 70:p2@ESR1, 0.0197254 89.4004 64
2 p2@ZEB1 i 1 4:p2@ZBTB16, 9.35068e-57 435.98 64
2 p2@ZEB1 i 1 5:p2@MYOD1, 0.000185138 90.8474 48
2 p2@ZEB1 i 1 6:p2@LMO2, 7.67879e-07 133.754 64
2 p2@ZEB1 i 1 8:p2@SPI1, 0.0162917 90.5012 64
2 p2@ZEB1 i 1 9:p2@ATF6, 3.19436e-06 55.2834 16
2 p2@ZEB1 i 1 11:p2@PBX1, 1.23774e-65 444.487 48
2 p2@ZEB1 i 1 13:p2@CUX2, 8.25711e-05 115.632 64
2 p2@ZEB1 i 1 15:p2@SOX5, 1.69174e-24 239.209 56
2 p2@ZEB1 i 1 16:p2@ZNF238, 4.30234e-22 239.497 64
2 p2@ZEB1 i 1 17:p2@TFCP2, 0.000821455 74.1747 40
2 p2@ZEB1 i 1 18:p2@POU6F1, 3.55005e-12 161.564 56
2 p2@ZEB1 i 1 21:p2@ZNF384, 0.00335251 23.0092 8
2 p2@ZEB1 i 1 23:p2@TFDP1, 0.00382024 88.2964 56
2 p2@ZEB1 i 1 24:p2@KLF12, 2.83142e-35 317.525 64
2 p2@ZEB1 i 1 26:p2@YY1, 0.0277396 28.4733 16
2 p2@ZEB1 i 1 28:p2@RORA, 3.222e-76 538.66 64
2 p2@ZEB1 i 1 29:p2@JUN, 0.000570185 86.3623 48
2 p2@ZEB1 i 1 30:p2@MAZ, 1.28322e-10 80.6257 16
2 p2@ZEB1 i 1 31:p2@TFAP4, 2.28792e-13 112.238 24
2 p2@ZEB1 i 1 32:p2@ZNF423, 5.85875e-39 338.412 64
2 p2@ZEB1 i 1 35:p2@HIC1, 5.94229e-33 304.194 64
2 p2@ZEB1 i 1 37:p2@NFE2L1, 3.43602e-24 171.217 24
2 p2@ZEB1 i 1 38:p2@HLF, 2.78188e-47 384.627 64
2 p2@ZEB1 i 1 39:p2@GATA6, 0.0182623 89.8466 64
2 p2@ZEB1 i 1 41:p2@ZFP161, 0.00180144 24.6215 8
2 p2@ZEB1 i 1 42:p2@NFIX, 9.93015e-64 434.698 48
2 p2@ZEB1 i 1 46:p2@MZF1, 2.36135e-08 67.8565 16
2 p2@ZEB1 i 1 47:p2@MYBL2, 3.46969e-34 311.294 64
2 p2@ZEB1 i 1 48:p2@PAX8, 1.98348e-05 121.416 64
2 p2@ZEB1 i 1 49:p2@NR4A2, 0.000628057 64.1784 32
