

id	name	type	num.parents	parents	offsets	p.value	chisq	df
1	disease	i	1	1325,	0,	0.000281816	16.3485	2
2	sex	i	0			1.01	0	0
3	chr6_2999	i	0			1.01	0	0
4	chr6_3000	i	0			1.01	0	0
5	chr6_3001	i	0			1.01	0	0
6	chr6_3002	i	0			1.01	0	0
7	chr6_3003	i	0			1.01	0	0
8	chr6_3004	i	0			1.01	0	0
9	chr6_3005	i	0			1.01	0	0
10	chr6_3006	i	0			1.01	0	0
11	chr6_3007	i	0			1.01	0	0
12	chr6_3008	i	0			1.01	0	0
13	chr6_3009	i	0			1.01	0	0
14	chr6_3010	i	0			1.01	0	0
15	chr6_3011	i	0			1.01	0	0
16	chr6_3012	i	0			1.01	0	0
17	chr6_3013	i	0			1.01	0	0
18	chr6_3014	i	0			1.01	0	0
19	chr6_3015	i	0			1.01	0	0
20	chr6_3016	i	0			1.01	0	0
21	chr6_3017	i	0			1.01	0	0
22	chr6_3018	i	0			1.01	0	0
23	chr6_3019	i	0			1.01	0	0
24	chr6_3020	i	0			1.01	0	0
25	chr6_3021	i	0			1.01	0	0
26	chr6_3022	i	0			1.01	0	0
27	chr6_3023	i	0			1.01	0	0
28	chr6_3024	i	0			1.01	0	0
29	chr6_3025	i	0			1.01	0	0
30	chr6_3026	i	0			1.01	0	0
31	chr6_3027	i	0			1.01	0	0
32	chr6_3028	i	0			1.01	0	0
33	chr6_3029	i	0			1.01	0	0
34	chr6_3030	i	0			1.01	0	0
35	chr6_3031	i	0			1.01	0	0
36	chr6_3032	i	0			1.01	0	0
37	chr6_3033	i	0			1.01	0	0
38	chr6_3034	i	0			1.01	0	0
39	chr6_3035	i	0			1.01	0	0
40	chr6_3036	i	0			1.01	0	0
41	chr6_3037	i	0			1.01	0	0
42	chr6_3038	i	0			1.01	0	0
43	chr6_3039	i	0			1.01	0	0
44	chr6_3040	i	0			1.01	0	0
45	chr6_3041	i	0			1.01	0	0
46	chr6_3042	i	0			1.01	0	0
47	chr6_3043	i	0			1.01	0	0
48	chr6_3044	i	0			1.01	0	0
49	chr6_3045	i	0			1.01	0	0
50	chr6_3046	i	0			1.01	0	0
51	chr6_3047	i	0			1.01	0	0
52	chr6_3048	i	0			1.01	0	0
53	chr6_3049	i	0			1.01	0	0
54	chr6_3050	i	0			1.01	0	0
55	chr6_3051	i	0			1.01	0	0
56	chr6_3052	i	0			1.01	0	0
57	chr6_3053	i	0			1.01	0	0
58	chr6_3054	i	0			1.01	0	0
59	chr6_3055	i	0			1.01	0	0
60	chr6_3056	i	0			1.01	0	0
61	chr6_3057	i	0			1.01	0	0
62	chr6_3058	i	0			1.01	0	0
63	chr6_3059	i	0			1.01	0	0
64	chr6_3060	i	0			1.01	0	0
65	chr6_3061	i	0			1.01	0	0
66	chr6_3062	i	0			1.01	0	0
67	chr6_3063	i	0			1.01	0	0
